,Lot_Frontage,Lot_Area,Bldg_Type,House_Style,Overall_Cond,Year_Built,Exter_Cond,Total_Bsmt_SF,First_Flr_SF,Second_Flr_SF,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,Fireplaces,Longitude,Latitude,Sale_Price
1110,71,7056,OneFam,Two_Story,Average,1963,Typical,780,983,813,1,1,4,1,1,-93.604986,42.036973,140000
878,0,10832,OneFam,Two_Story,Average,1994,Typical,712,1086,809,2,1,3,1,1,-93.636798,42.058445,194500
39,61,7658,Twnhs,One_Story,Average,2005,Typical,1752,1752,0,2,0,2,1,1,-93.654121,42.057164,319900
1450,26,10943,Twnhs,One_Story,Average,1997,Typical,1405,1337,0,2,0,2,1,1,-93.624431,42.055319,177000
590,80,9000,OneFam,One_Story,Above_Average,1958,Typical,160,1142,0,1,0,2,1,1,-93.60552,42.038811,113500
914,24,2529,Twnhs,One_Story,Above_Average,1977,Typical,1055,1055,0,2,0,2,1,0,-93.625848,42.050257,148500
2340,24,2522,Twnhs,Two_Story,Average,2004,Typical,970,970,739,2,0,3,1,0,-93.66996,42.01881,137500
416,62,7984,OneFam,Two_Story,Average,2004,Typical,868,868,762,2,1,3,1,1,-93.641772,42.061149,189500
1183,0,10320,OneFam,One_and_Half_Fin,Above_Average,1915,Fair,880,880,428,2,0,2,1,0,-93.6261621,42.0249938,120000
1404,0,10147,OneFam,SLvl,Average,1994,Typical,392,924,770,2,1,3,1,1,-93.636345,42.059592,160000
1150,70,12702,OneFam,One_Story,Average,1956,Typical,0,882,0,1,0,2,1,0,-93.604486,42.026691,97000
175,50,10300,OneFam,Two_Story,Above_Average,1921,Typical,576,902,808,2,0,3,1,0,-93.62338,42.027986,140000
1881,110,14442,OneFam,One_Story,Good,1957,Typical,1477,1839,0,2,0,3,1,2,-93.642883,42.013003,257500
399,129,16770,OneFam,One_Story,Average,2002,Typical,1712,1712,0,2,0,3,1,1,-93.654405,42.057019,286500
1813,70,7700,OneFam,One_Story,Average,1972,Typical,882,882,0,1,0,3,1,0,-93.683235,42.021056,112500
1204,0,13284,OneFam,One_Story,Average,1954,Typical,1383,1383,0,1,0,3,1,1,-93.665356,42.032566,165000
949,0,7750,OneFam,Two_Story,Average,2002,Typical,707,707,707,2,1,3,1,1,-93.643632,42.059507,176000
2060,68,8927,Duplex,One_and_Half_Fin,Above_Average,1977,Good,0,1286,368,2,0,4,2,0,-93.677123,42.036206,119500
1629,80,9736,OneFam,One_Story,Above_Average,1957,Typical,1331,1721,0,1,0,4,1,3,-93.612347,42.043952,174850
898,80,10400,OneFam,One_Story,Average,1976,Typical,1444,1444,0,2,0,2,1,1,-93.635216,42.049449,159900
1874,126,13108,OneFam,One_Story,Average,1951,Typical,0,1226,0,1,1,2,1,1,-93.641948,42.017572,153500
784,65,10926,Duplex,One_Story,Average,1959,Typical,1678,1678,0,2,0,6,2,0,-93.6644024,42.01822,119900
1556,73,7321,OneFam,One_Story,Average,1999,Typical,1339,1358,0,2,0,3,1,0,-93.639931,42.046137,204000
1945,69,7599,OneFam,One_Story,Above_Average,1982,Typical,845,845,0,1,0,2,1,0,-93.604858,41.987606,129500
1426,0,12046,OneFam,Two_Story,Above_Average,1976,Typical,848,1118,912,2,1,4,1,1,-93.631528,42.054427,195000
1872,82,6270,Duplex,Two_Story,Above_Average,1949,Typical,1001,1001,1001,2,0,4,2,0,-93.643215,42.019952,145000
450,85,11128,OneFam,One_Story,Average,2005,Typical,2458,2490,0,2,0,2,1,2,-93.641296,42.053108,468000
1931,44,4224,Twnhs,One_Story,Average,1976,Typical,1142,1142,0,1,1,3,1,1,-93.605354,41.99284,134000
48,0,7750,OneFam,SLvl,Average,2000,Typical,384,774,656,2,1,3,1,1,-93.641325,42.060936,180000
1613,95,11345,Duplex,Two_Story,Average,1948,Typical,928,928,992,2,0,4,2,0,-93.621485,42.03465,137000
2259,88,13125,OneFam,One_Story,Below_Average,1957,Typical,1134,1803,0,2,0,3,1,1,-93.665505,42.03247,155000
1781,74,8556,OneFam,One_Story,Average,2006,Typical,1240,1240,0,2,0,2,1,0,-93.69003,42.024633,194000
1673,56,4480,OneFam,One_Story,Average,1922,Typical,1022,1022,0,1,0,2,1,1,-93.62024,42.03131,89500
116,80,9600,OneFam,SLvl,Above_Average,1955,Typical,1156,1520,0,1,0,3,1,2,-93.624601,42.036095,153000
772,67,8877,OneFam,One_Story,Above_Average,1938,Typical,816,816,0,1,0,2,1,1,-93.676372,42.021219,100000
1459,65,7150,OneFam,One_Story,Above_Average,1966,Typical,988,988,0,1,0,3,1,0,-93.6257971,42.0488205,129250
1297,60,6931,OneFam,Two_Story,Average,2003,Typical,746,760,896,2,1,3,1,1,-93.672408,42.018991,165400
1188,60,10320,OneFam,One_and_Half_Fin,Good,1906,Typical,756,756,713,1,0,3,1,0,-93.62458,42.023716,135000
1531,60,8400,Duplex,One_Story,Average,1977,Typical,0,2020,0,2,0,4,2,2,-93.6791142,42.0362103,144000
1497,0,11400,OneFam,One_Story,Average,2001,Typical,2633,2633,0,2,1,2,1,2,-93.651096,42.055627,466500
103,80,9600,OneFam,Two_Story,Above_Average,1971,Typical,715,930,715,1,2,4,1,0,-93.632554,42.043821,171000
1622,65,6860,OneFam,One_Story,Above_Average,1956,Typical,1008,1008,0,1,0,3,1,0,-93.618404,42.043143,131000
1949,62,10447,OneFam,One_Story,Above_Average,1984,Typical,864,887,0,1,0,3,1,0,-93.604858,41.986588,124500
1377,0,4224,Twnhs,One_Story,Above_Average,1975,Typical,1040,1040,0,1,0,3,1,0,-93.605351,41.99261,124000
2128,79,9462,OneFam,Two_Story,Above_Average,1949,Typical,704,1024,704,1,1,3,1,1,-93.621426,42.035987,137000
2230,50,11672,OneFam,One_Story,Average,1925,Typical,816,816,0,1,0,2,1,0,-93.62577,42.029526,109000
2249,0,11327,OneFam,One_Story,Above_Average,1967,Typical,1064,1064,0,1,0,3,1,1,-93.674456,42.03224,153600
2267,100,13350,OneFam,One_Story,Average,1974,Typical,864,894,0,1,0,3,1,1,-93.676352,42.028836,142500
411,43,3182,Twnhs,One_Story,Average,2005,Typical,1220,1220,0,2,0,2,1,1,-93.642911,42.062081,180000
337,0,7500,OneFam,Two_Story,Average,2000,Typical,1058,1058,816,2,1,3,1,1,-93.6392308,42.0503771,220000
1399,0,10364,OneFam,Two_Story,Average,1995,Typical,806,806,766,2,1,3,1,1,-93.63736,42.060466,168000
548,0,12513,OneFam,One_and_Half_Fin,Below_Average,1920,Good,715,1281,457,2,0,4,1,1,-93.619029,42.044886,104900
12,63,8402,OneFam,Two_Story,Average,1998,Typical,789,789,676,2,1,3,1,1,-93.638647,42.058151,180400
1475,34,4590,Twnhs,One_Story,Average,2006,Typical,1554,1554,0,2,0,2,1,1,-93.649397,42.05826,209500
2197,50,5633,OneFam,One_Story,Good,1925,Typical,844,844,0,1,0,2,1,0,-93.615638,42.031196,111500
1122,63,7628,OneFam,One_and_Half_Fin,Above_Average,1940,Good,801,1095,561,2,0,2,1,0,-93.6198478,42.030418,119164
2408,37,7937,OneFam,SLvl,Above_Average,1984,Typical,1003,1003,0,1,0,3,1,0,-93.604776,41.988964,142500
633,98,8820,OneFam,One_and_Half_Fin,Above_Average,1890,Typical,1088,1188,561,1,0,2,1,0,-93.608704,42.027062,124900
2289,62,70761,OneFam,One_Story,Average,1975,Typical,1533,1533,0,2,0,2,1,2,-93.683877,42.02438,280000
1118,60,4800,OneFam,One_Story,Below_Average,1940,Typical,672,672,0,1,0,2,1,0,-93.616991,42.032419,64000
1859,55,10594,OneFam,One_and_Half_Unf,Average,1926,Typical,768,789,0,1,0,2,1,0,-93.646688,42.018039,96500
1783,73,8760,OneFam,One_Story,Average,2006,Typical,1489,1500,0,2,0,3,1,1,-93.688923,42.025156,212999
503,0,11717,OneFam,One_Story,Above_Average,1970,Typical,1442,1442,0,2,0,2,1,1,-93.634634,42.048009,185000
858,85,14115,OneFam,One_and_Half_Fin,Average,1993,Typical,796,796,566,1,1,1,1,0,-93.609453,41.986502,143000
1200,0,9000,OneFam,One_Story,Fair,1959,Typical,1006,1006,0,1,0,3,1,0,-93.665521,42.033454,80000
1009,0,4765,Twnhs,One_Story,Average,2000,Typical,1614,1638,0,2,0,2,1,1,-93.646984,42.046381,300000
358,24,2280,Twnhs,Two_Story,Above_Average,1976,Typical,855,855,601,2,1,3,1,1,-93.624748,42.050705,148500
1489,0,8740,OneFam,Two_Story,Average,2002,Typical,854,864,1131,2,1,4,1,1,-93.64334,42.059181,219500
650,51,6120,OneFam,One_Story,Good,1931,Typical,715,875,0,1,0,2,1,0,-93.623629,42.031292,105000
210,75,9525,OneFam,One_Story,Good,1954,Typical,1172,1172,0,1,0,3,1,0,-93.666097,42.02526,128000
846,21,1596,Twnhs,SLvl,Average,1973,Typical,462,526,462,1,0,2,1,0,-93.604252,41.991786,91000
1077,80,11900,OneFam,One_Story,Average,1957,Typical,1392,1392,0,1,1,3,1,2,-93.613077,42.0438199,166000
11,0,7980,OneFam,One_Story,Good,1992,Good,1168,1187,0,2,0,3,1,0,-93.635951,42.057419,185000
1939,72,9129,OneFam,SFoyer,Average,1977,Typical,923,1008,0,1,0,1,1,1,-93.604644,41.991098,153500
59,75,9000,OneFam,One_Story,Average,2008,Typical,1566,1566,0,2,0,3,1,0,-93.647105,42.050084,262500
875,39,5070,Twnhs,One_Story,Average,1992,Typical,1280,1280,0,2,0,2,1,0,-93.633797,42.06076,180000
2204,56,9576,OneFam,One_and_Half_Fin,Good,1945,Typical,770,885,297,1,1,3,1,0,-93.608938,42.030368,120000
2260,0,17529,OneFam,One_Story,Average,1924,Typical,872,872,0,1,0,2,1,1,-93.667081,42.032307,105000
666,0,10020,OneFam,One_Story,Very_Poor,1922,Fair,683,904,0,0,1,1,1,0,-93.6601886,42.0269586,61000
2284,78,11645,OneFam,One_Story,Average,2005,Typical,1734,1734,0,2,0,3,1,0,-93.689067,42.024481,260000
162,90,7407,OneFam,One_Story,Good,1957,Typical,912,1236,0,1,0,2,1,0,-93.608246,42.03005,149700
736,67,16285,OneFam,One_Story,Average,2001,Typical,1413,1430,0,2,0,3,1,0,-93.689942,42.016551,187100
785,70,11767,OneFam,One_Story,Average,1956,Typical,1150,1560,0,1,0,2,1,1,-93.664336,42.019381,103500
1861,51,6821,OneFam,One_and_Half_Fin,Good,1921,Typical,651,759,539,2,0,2,1,1,-93.64672,42.017889,146500
1609,51,3500,OneFam,One_and_Half_Fin,Average,1945,Typical,370,442,228,1,0,2,1,0,-93.628654,42.036023,64000
2082,35,3735,Twnhs,Two_Story,Average,1999,Typical,691,713,739,2,1,3,1,0,-93.645482,42.046431,183900
2353,96,13132,OneFam,Two_Story,Average,1914,Typical,747,892,892,1,1,4,1,0,-93.646438,42.01895,138887
972,85,10625,OneFam,Two_Story,Average,2005,Typical,1026,1026,932,2,1,3,1,1,-93.640924,42.052275,250000
278,73,9802,OneFam,Two_Story,Average,2006,Typical,384,744,700,2,1,3,1,0,-93.649096,41.994284,174000
678,88,15312,OneFam,SLvl,Average,1960,Typical,1138,1138,0,1,0,3,1,1,-93.666813,42.032302,148000
247,80,8546,OneFam,One_Story,Average,2003,Typical,1121,1121,0,2,0,2,1,0,-93.66751,42.020196,140000
721,0,16698,OneFam,Two_Story,Average,1992,Typical,1449,944,815,2,1,3,1,1,-93.679297,42.02792,233500
437,98,12203,OneFam,Two_Story,Average,1998,Typical,1225,1276,1336,2,1,4,1,1,-93.65238,42.053041,336000
517,70,9100,OneFam,One_Story,Above_Average,1965,Typical,925,925,0,1,0,2,1,0,-93.624612,42.046635,117500
498,0,14694,OneFam,One_Story,Excellent,1977,Excellent,1694,1694,0,2,0,2,1,1,-93.645923,42.043782,318750
1595,70,8680,OneFam,One_Story,Good,1960,Typical,894,894,0,1,0,3,1,0,-93.62144,42.043627,117600
1044,0,8475,OneFam,One_Story,Good,1956,Typical,952,952,0,1,0,2,1,0,-93.622662,42.044773,135750
1729,0,12358,OneFam,One_and_Half_Fin,Above_Average,1941,Typical,720,854,0,1,1,2,1,0,-93.622793,42.026723,128500
2330,67,8777,OneFam,Two_Story,Above_Average,1910,Good,676,760,676,2,0,3,1,0,-93.678267,42.0195855,98000
1018,36,3951,Twnhs,Two_Story,Average,1998,Typical,970,1469,924,2,1,2,1,1,-93.641742,42.047171,345000
267,40,5436,OneFam,One_and_Half_Fin,Very_Good,1922,Good,796,796,358,1,0,3,1,0,-93.625291,42.022772,125500
1974,0,13837,OneFam,One_and_Half_Fin,Average,1988,Good,1204,1377,806,2,1,4,1,0,-93.637874,42.054367,229000
1093,78,10180,OneFam,One_Story,Above_Average,1968,Typical,912,1044,0,1,1,3,1,1,-93.610663,42.040142,139000
1152,55,7111,OneFam,One_Story,Good,1928,Good,1008,1143,0,1,0,2,1,1,-93.628806,42.03361,138000
1669,60,6600,OneFam,One_Story,Average,1962,Typical,864,864,0,1,0,2,1,0,-93.603703,42.0346,125500
490,65,7150,OneFam,One_Story,Above_Average,1962,Typical,912,912,0,1,0,3,1,0,-93.669845,42.034581,123000
1511,85,10000,OneFam,One_Story,Average,2006,Typical,1588,1588,0,2,0,3,1,1,-93.642344,42.054157,227000
2343,60,9738,OneFam,One_and_Half_Fin,Good,1924,Good,784,949,272,1,0,4,1,0,-93.660119,42.021432,104900
1106,59,7227,OneFam,One_and_Half_Unf,Above_Average,1954,Typical,832,832,0,1,0,2,1,0,-93.608765,42.034789,105500
484,71,7064,OneFam,One_Story,Above_Average,1977,Typical,980,980,0,1,0,3,1,0,-93.677008,42.034747,135000
316,59,7837,OneFam,Two_Story,Good,1993,Typical,799,799,772,2,1,3,1,1,-93.636955,42.058274,178000
1310,59,16466,OneFam,One_and_Half_Fin,Good,1955,Good,816,872,521,1,1,3,1,0,-93.66345,42.018541,135500
1174,60,9120,OneFam,One_and_Half_Fin,Above_Average,1925,Good,1026,1133,687,2,0,4,1,0,-93.625556,42.028426,184000
1005,37,3435,Twnhs,One_Story,Average,2004,Typical,1235,1245,0,2,0,1,1,0,-93.646113,42.048191,178000
2226,51,6120,OneFam,One_and_Half_Fin,Good,1930,Good,741,741,583,1,0,3,1,0,-93.622415,42.032418,110000
1589,65,10482,OneFam,SLvl,Very_Good,1958,Good,588,1138,0,1,0,3,1,0,-93.623104,42.044036,145000
547,120,13560,OneFam,One_Story,Fair,1968,Typical,1392,1392,0,1,0,2,1,2,-93.614216,42.04579,110000
595,71,7350,OneFam,One_Story,Above_Average,1958,Typical,1041,1041,0,1,0,3,1,0,-93.606891,42.03602,128000
1869,53,5362,OneFam,One_and_Half_Fin,Above_Average,1910,Typical,661,661,589,2,0,3,1,1,-93.646289,42.016853,139000
762,75,9750,OneFam,One_Story,Average,2000,Typical,1630,1630,0,2,0,3,1,1,-93.68167,42.016797,213000
1463,118,13654,OneFam,Two_Story,Average,2005,Typical,1704,1722,1036,2,1,4,1,1,-93.657211,42.06027,418000
2022,0,3072,Twnhs,One_Story,Average,2004,Typical,1375,1414,0,2,0,2,1,1,-93.641321,42.062374,178740
494,0,4217,Twnhs,One_Story,Average,2008,Typical,1145,1256,0,1,1,1,1,1,-93.646916,42.047253,195000
1238,0,11500,OneFam,One_Story,Above_Average,1966,Typical,1182,1643,0,2,0,2,1,1,-93.6826513,42.0249247,195000
306,60,8400,OneFam,SLvl,Average,1996,Typical,384,958,670,2,1,3,1,1,-93.6364,42.060896,189000
477,50,7175,Twnhs,One_Story,Average,1990,Typical,1332,1332,0,2,0,2,1,0,-93.686267,42.035518,145000
1006,30,3180,Twnhs,Two_Story,Average,2005,Typical,600,600,600,2,1,2,1,0,-93.64489,42.047806,165000
603,60,6600,OneFam,One_Story,Average,1962,Typical,894,894,0,1,0,2,1,0,-93.603701,42.035287,109500
1787,0,14364,OneFam,Two_Story,Average,1988,Typical,1157,1180,882,2,1,3,1,1,-93.685142,42.029694,277000
454,75,7500,OneFam,One_Story,Average,2006,Typical,1372,1448,0,2,0,2,1,1,-93.648778,42.051795,238500
1671,60,6978,OneFam,One_Story,Good,1926,Good,850,960,0,1,0,2,1,0,-93.618969,42.034403,103000
2262,0,14175,OneFam,One_Story,Above_Average,1956,Typical,1188,1437,0,1,1,3,1,1,-93.66412,42.032478,168000
1583,0,9503,OneFam,One_Story,Average,1958,Typical,1024,1344,0,1,0,2,1,1,-93.624758,42.044758,144000
1661,60,7200,OneFam,One_Story,Very_Good,1950,Typical,864,864,0,1,0,3,1,0,-93.607963,42.035876,129000
1896,59,8263,OneFam,One_Story,Average,1920,Typical,1012,1012,0,1,0,2,1,1,-93.629496,42.021547,118400
1245,68,8998,OneFam,Two_Story,Average,2000,Typical,782,782,870,2,1,3,1,0,-93.690276,42.017423,207500
1022,0,11120,OneFam,One_Story,Above_Average,1984,Typical,1232,1232,0,2,0,3,1,0,-93.645713,42.044693,162500
1615,79,9480,OneFam,Two_Story,Good,1942,Typical,728,888,756,1,1,3,1,2,-93.620491,42.034755,146500
1794,65,8775,OneFam,One_Story,Average,1994,Typical,990,990,0,1,0,3,1,0,-93.692069,42.021324,126000
1445,0,7340,OneFam,One_Story,Above_Average,1971,Typical,858,858,0,1,0,2,1,0,-93.62805,42.053503,110000
1793,0,14217,OneFam,One_Story,Average,1994,Typical,1022,1022,0,1,0,3,1,0,-93.691971,42.022228,139500
342,78,10140,OneFam,One_Story,Average,1974,Typical,1064,1350,0,2,0,3,1,1,-93.631432,42.05267,165000
1000,70,10759,OneFam,One_and_Half_Fin,Below_Average,1972,Good,1001,1001,640,2,0,4,1,1,-93.660522,42.034532,140000
1961,72,10463,OneFam,Two_Story,Average,2005,Typical,893,901,900,2,1,3,1,1,-93.635837,42.062798,239900
1281,65,8450,OneFam,One_Story,Average,2004,Typical,1436,1436,0,2,0,3,1,0,-93.684451,42.013641,210000
696,60,9084,OneFam,Two_Story,Average,1940,Typical,755,755,755,1,0,4,1,1,-93.659855,42.022754,108000
2309,0,3612,Twnhs,Two_Story,Average,1993,Typical,630,630,690,2,1,3,1,0,-93.681378,42.021785,137000
461,62,7500,OneFam,One_Story,Average,2004,Typical,1221,1221,0,2,0,2,1,0,-93.643131,42.051247,185000
624,50,3500,OneFam,One_and_Half_Fin,Good,1947,Typical,720,720,564,1,1,2,1,0,-93.6178679,42.0290352,110000
575,60,10230,OneFam,One_Story,Good,1925,Typical,1054,1078,0,1,0,3,1,0,-93.615465,42.036002,125000
1541,0,19522,OneFam,Two_Story,Average,1990,Typical,1223,1271,1232,2,1,3,1,1,-93.661846,42.037652,300000
295,76,12887,OneFam,One_Story,Good,1984,Typical,833,833,0,1,0,2,1,0,-93.6035354,41.9889358,149900
1884,0,21579,OneFam,One_Story,Above_Average,1968,Typical,1488,1488,0,2,0,3,1,2,-93.641849,42.011506,215000
771,75,9937,OneFam,One_Story,Good,1964,Good,1486,1486,0,1,0,3,1,0,-93.677407,42.021246,167000
1722,120,13200,OneFam,SLvl,Above_Average,1963,Typical,741,1497,797,3,0,5,1,1,-93.629496,42.021576,202500
508,80,10400,OneFam,Two_Story,Good,1967,Typical,932,1271,1369,2,1,5,1,1,-93.633163,42.046476,256900
587,90,10454,OneFam,One_Story,Above_Average,1957,Typical,1105,1105,0,1,0,3,1,0,-93.608927,42.038349,135000
1766,60,5400,OneFam,One_Story,Average,1958,Typical,864,864,0,1,0,3,1,0,-93.66061,42.025818,118000
98,80,10791,OneFam,Two_Story,Average,1993,Typical,1280,1280,1215,2,1,4,1,1,-93.636879,42.043038,243500
2162,60,10800,OneFam,One_and_Half_Fin,Very_Good,1936,Typical,796,1096,370,2,0,3,1,1,-93.613899,42.034761,170000
421,34,5063,Twnhs,One_Story,Average,2007,Typical,1314,1314,0,2,0,2,1,1,-93.649649,42.058368,207500
1248,88,12803,OneFam,One_Story,Average,2002,Typical,1494,1494,0,2,0,3,1,1,-93.691706,42.016276,221000
1521,63,7500,OneFam,One_Story,Average,2006,Typical,1143,1143,0,1,1,3,1,0,-93.692245,42.037636,147000
1822,65,8158,OneFam,Two_Story,Average,2002,Typical,860,860,869,2,1,3,1,0,-93.68675,42.016212,200000
1625,75,9750,OneFam,One_Story,Above_Average,1958,Typical,1442,1442,0,1,1,4,1,0,-93.615281,42.043946,157900
1920,0,7777,OneFam,One_Story,Average,1996,Typical,1491,1491,0,2,0,3,1,1,-93.646634,41.997299,178000
1272,72,7226,OneFam,Two_Story,Average,2003,Typical,798,798,842,2,1,3,1,0,-93.687674,42.014435,183000
1116,80,4800,OneFam,Two_Story,Average,1910,Typical,680,680,680,1,0,2,1,0,-93.61648,42.0330566,111000
909,21,1890,Twnhs,Two_Story,Above_Average,1972,Typical,483,483,504,1,1,2,1,0,-93.627114,42.051479,100500
1350,50,8500,OneFam,Two_Story,Below_Average,1920,Fair,649,649,668,1,0,3,1,0,-93.616848,42.021506,40000
1127,44,5914,OneFam,One_and_Half_Fin,Excellent,1890,Typical,684,684,396,1,0,3,1,0,-93.6112887,42.0303597,95000
780,70,11767,OneFam,One_Story,Average,1950,Typical,1078,1368,0,1,0,3,1,0,-93.664685,42.020321,120000
1038,76,9120,OneFam,Two_Story,Above_Average,1974,Typical,901,943,933,2,1,4,1,1,-93.630732,42.044851,185000
1491,76,9967,OneFam,SLvl,Average,2000,Typical,384,774,656,2,1,3,1,1,-93.642836,42.058401,170000
